ID,Tipo,SKU,GTIN,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿Existencias?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Marcas
1,simple,SKU-0001,,COOKIES CARAMEL,1,0,visible,Producto de la categoría PROTEINAS,Producto COOKIES CARAMEL de la categoría PROTEINAS,,,taxable,standard,1,100,5,0,0,,,,,1,,,0,PROTEINAS,proteinas,,,,,,,,,,,1,
2,simple,SKU-0002,,WHITE CHOCOLATE ALMOND,1,0,visible,Producto de la categoría PROTEINAS,Producto WHITE CHOCOLATE ALMOND de la categoría PROTEINAS,,,taxable,standard,1,100,5,0,0,,,,,1,,,0,PROTEINAS,proteinas,,,,,,,,,,,2,
3,simple,SKU-0003,,PEANUT CARAMEL,1,0,visible,Producto de la categoría PROTEINAS,Producto PEANUT CARAMEL de la categoría PROTEINAS,,,taxable,standard,1,100,5,0,0,,,,,1,,,0,PROTEINAS,proteinas,,,,,,,,,,,3,
4,simple,SKU-0004,,MONKEY DOBLE CHOCOLATE,1,0,visible,Producto de la categoría PROTEINAS,Producto MONKEY DOBLE CHOCOLATE de la categoría PROTEINAS,,,taxable,standard,1,100,5,0,0,,,,,1,,,0,PROTEINAS,proteinas,,,,,,,,,,,4,
5,simple,SKU-0005,,MONKEY COOKIE CREAM,1,0,visible,Producto de la categoría PROTEINAS,Producto MONKEY COOKIE CREAM de la categoría PROTEINAS,,,taxable,standard,1,100,5,0,0,,,,,1,,,0,PROTEINAS,proteinas,,,,,,,,,,,5,
6,simple,SKU-0006,,CARGADOR DOBLE USB A COMPATIBLE APPLE,1,0,visible,Producto de la categoría TECNOLOGÍA,Producto CARGADOR DOBLE USB A COMPATIBLE APPLE de la categoría TECNOLOGÍA,,,taxable,standard,1,100,5,0,0,,,,,1,,,0,TECNOLOGÍA,tecnología,,,,,,,,,,,6,
7,simple,SKU-0007,,CABLE COMPATIBLE APPLE,1,0,visible,Producto de la categoría TECNOLOGÍA,Producto CABLE COMPATIBLE APPLE de la categoría TECNOLOGÍA,,,taxable,standard,1,100,5,0,0,,,,,1,,,0,TECNOLOGÍA,tecnología,,,,,,,,,,,7,
8,simple,SKU-0008,,CARGADOR TIPO C A TIPO C,1,0,visible,Producto de la categoría TECNOLOGÍA,Producto CARGADOR TIPO C A TIPO C de la categoría TECNOLOGÍA,,,taxable,standard,1,100,5,0,0,,,,,1,,,0,TECNOLOGÍA,tecnología,,,,,,,,,,,8,
9,simple,SKU-0009,,AURICULARES ESTEREOS COMPATIBLE APPLE,1,0,visible,Producto de la categoría TECNOLOGÍA,Producto AURICULARES ESTEREOS COMPATIBLE APPLE de la categoría TECNOLOGÍA,,,taxable,standard,1,100,5,0,0,,,,,1,,,0,TECNOLOGÍA,tecnología,,,,,,,,,,,9,
10,simple,SKU-0010,,AURICULARES TIPO C,1,0,visible,Producto de la categoría TECNOLOGÍA,Producto AURICULARES TIPO C de la categoría TECNOLOGÍA,,,taxable,standard,1,100,5,0,0,,,,,1,,,0,TECNOLOGÍA,tecnología,,,,,,,,,,,10,
